date,product,category,region,salesperson,quantity,revenue,profit,customer
2024-02-01,Notebook Set,Stationery,East,Bob,8,144.34,30.17,Stark Industries
2024-02-01,Laptop Pro,Electronics,West,Alice,4,6509.35,1919.24,Initech
2024-02-01,Notebook Set,Stationery,East,Alice,1,15.72,2.75,Cyberdyne
2024-02-01,Office Chair,Furniture,West,Frank,2,836.77,204.42,Wayne Enterprises
2024-02-01,Notebook Set,Stationery,East,Eve,2,33.89,8.23,Umbrella Co
2024-02-02,Laptop Pro,Electronics,South,Alice,5,6825.94,1182.42,Acme Corp
2024-02-02,Notebook Set,Stationery,South,Diana,6,92.14,27.52,Soylent Corp
2024-02-02,Standing Desk,Furniture,South,Diana,8,4419.92,1493.1,Globex Inc
2024-02-02,Office Chair,Furniture,South,Diana,4,1417.05,240.72,Soylent Corp
2024-02-02,Notebook Set,Stationery,East,Alice,5,77.38,13.5,Cyberdyne
2024-02-02,Standing Desk,Furniture,North,Frank,10,7878.37,1261.45,Umbrella Co
2024-02-03,Notebook Set,Stationery,South,Alice,4,60.43,18.89,Wonka Industries
2024-02-03,Wireless Mouse,Electronics,North,Charlie,3,81.65,25.29,Initech
2024-02-03,Laptop Pro,Electronics,South,Alice,4,5056.28,774.4,Wayne Enterprises
2024-02-03,Wireless Mouse,Electronics,West,Eve,2,49.26,15.05,Globex Inc
2024-02-04,Standing Desk,Furniture,South,Eve,9,4667.18,,Acme Corp
2024-02-04,Standing Desk,Furniture,West,Diana,8,5504.3,1313.95,Globex Inc
2024-02-04,Office Chair,Furniture,South,Alice,5,1694.87,452.65,Initech
2024-02-05,Notebook Set,Stationery,East,Diana,10,162.7,50.21,Wonka Industries
2024-02-05,Notebook Set,Stationery,South,Diana,4,58.38,18.42,Soylent Corp
2024-02-05,Laptop Pro,Electronics,East,Diana,5,6726.54,1214.33,Wayne Enterprises
2024-02-05,Laptop Pro,Electronics,North,Alice,7,10656.67,3173.12,Globex Inc
2024-02-05,Notebook Set,Stationery,North,Eve,9,172.13,30.03,Wonka Industries
2024-02-05,Standing Desk,Furniture,North,Charlie,5,3493.19,927.73,Dunder Mifflin
2024-02-06,Wireless Mouse,Electronics,North,Charlie,6,149.52,30.76,Wonka Industries
2024-02-06,Standing Desk,Furniture,North,Eve,1,673.98,195.82,Stark Industries
2024-02-06,Office Chair,Furniture,East,Alice,3,1117.12,257.11,Initech
2024-02-06,Laptop Pro,Electronics,North,Frank,4,6459.98,1555.11,Wonka Industries
2024-02-06,Office Chair,Furniture,East,Eve,2,791.35,143.33,Dunder Mifflin
2024-02-06,Laptop Pro,Electronics,North,Charlie,7,11558.76,2755.71,Soylent Corp
2024-02-07,Office Chair,Furniture,West,Alice,10,4031.69,,Stark Industries
2024-02-07,Standing Desk,Furniture,North,Alice,5,3920.63,1189.79,Umbrella Co
2024-02-07,Office Chair,Furniture,East,Alice,8,3085.24,571.2,Acme Corp
2024-02-08,Notebook Set,Stationery,East,Alice,1,16.29,3.94,Cyberdyne
2024-02-08,Office Chair,Furniture,West,Eve,7,2710.63,626.17,Cyberdyne
2024-02-08,Wireless Mouse,Electronics,West,Frank,2,48.87,8.37,Wayne Enterprises
2024-02-08,Standing Desk,Furniture,North,Diana,6,4079.44,1247.59,Stark Industries
2024-02-09,Notebook Set,Stationery,South,Charlie,3,42.2,7.57,Wayne Enterprises
2024-02-09,Notebook Set,Stationery,South,Frank,3,48.57,13.39,Globex Inc
2024-02-09,Notebook Set,Stationery,West,Frank,10,175.08,60.26,Dunder Mifflin
2024-02-10,Laptop Pro,Electronics,West,Diana,5,7728.78,1703.33,Stark Industries
2024-02-10,Standing Desk,Furniture,West,Alice,6,4222.7,698.21,Acme Corp
2024-02-10,Laptop Pro,Electronics,West,Diana,9,14903.14,,Dunder Mifflin
2024-02-10,Notebook Set,Stationery,South,Charlie,8,118.83,40.59,Dunder Mifflin
2024-02-10,Office Chair,Furniture,North,Eve,1,418.75,99.47,Initech
2024-02-10,Notebook Set,Stationery,South,Charlie,5,72.58,22.13,Wayne Enterprises
2024-02-11,Office Chair,Furniture,North,Charlie,9,4110.6,850.19,Globex Inc
2024-02-11,Notebook Set,Stationery,South,Charlie,10,153.36,51.12,Globex Inc
2024-02-11,Standing Desk,Furniture,South,Eve,5,2731.82,761.35,Globex Inc
2024-02-12,Notebook Set,Stationery,North,Frank,9,173.28,38.56,Cyberdyne
2024-02-12,Wireless Mouse,Electronics,East,Diana,4,99.0,17.92,Umbrella Co
2024-02-12,Laptop Pro,Electronics,North,Frank,10,15338.03,3456.33,Wayne Enterprises
2024-02-12,Notebook Set,Stationery,South,Frank,1,14.59,4.16,Soylent Corp
2024-02-13,Notebook Set,Stationery,East,Frank,4,66.45,14.08,Soylent Corp
2024-02-13,Standing Desk,Furniture,South,Charlie,8,4286.89,884.62,Dunder Mifflin
2024-02-13,Notebook Set,Stationery,West,Bob,10,168.37,33.67,Umbrella Co
2024-02-13,Office Chair,Furniture,North,Frank,2,844.09,255.44,Wonka Industries
2024-02-13,Notebook Set,Stationery,South,Diana,4,63.16,20.65,Globex Inc
2024-02-13,Standing Desk,Furniture,North,Diana,6,4091.71,1427.62,Wonka Industries
2024-02-14,Office Chair,Furniture,North,Frank,3,1227.11,254.47,Wayne Enterprises
2024-02-14,Wireless Mouse,Electronics,West,Diana,1,26.76,4.12,Dunder Mifflin
2024-02-14,Wireless Mouse,Electronics,West,Alice,4,95.06,15.17,Stark Industries
2024-02-15,Laptop Pro,Electronics,North,Diana,9,13462.59,3407.05,Dunder Mifflin
2024-02-15,Wireless Mouse,Electronics,East,Diana,10,218.38,57.68,Acme Corp
2024-02-15,Laptop Pro,Electronics,East,Alice,9,12438.2,4324.34,Wonka Industries
2024-02-15,Standing Desk,Furniture,West,Alice,6,3764.89,576.96,Cyberdyne
2024-02-15,Office Chair,Furniture,South,Frank,10,3463.08,,Globex Inc
2024-02-15,Notebook Set,Stationery,East,Frank,8,144.69,35.55,Initech
2024-02-16,Laptop Pro,Electronics,West,Alice,4,5518.0,,Stark Industries
