date,product,category,region,salesperson,quantity,revenue,profit,customer
2024-01-01,Laptop Pro,Electronics,East,Bob,3,3770.26,1075.81,Umbrella Co
2024-01-01,Laptop Pro,Electronics,West,Alice,2,2491.44,,Acme Corp
2024-01-01,Wireless Mouse,Electronics,West,Bob,10,262.8,85.11,Soylent Corp
2024-01-02,Standing Desk,Furniture,East,Charlie,4,2619.46,569.26,Initech
2024-01-02,Laptop Pro,Electronics,East,Charlie,5,6368.55,1884.75,Dunder Mifflin
2024-01-02,Standing Desk,Furniture,North,Eve,10,7755.05,1724.16,Stark Industries
2024-01-02,Laptop Pro,Electronics,North,Frank,5,7898.72,2535.99,Umbrella Co
2024-01-03,Office Chair,Furniture,West,Frank,3,1125.01,215.89,Wayne Enterprises
2024-01-03,Laptop Pro,Electronics,South,Eve,3,3215.54,655.94,Umbrella Co
2024-01-03,Notebook Set,Stationery,South,Frank,1,12.77,2.0,Wayne Enterprises
2024-01-03,Office Chair,Furniture,North,Bob,6,2375.16,593.42,Dunder Mifflin
2024-01-03,Standing Desk,Furniture,South,Charlie,4,2265.84,584.12,Initech
2024-01-03,Standing Desk,Furniture,West,Charlie,3,1983.77,,Umbrella Co
2024-01-04,Wireless Mouse,Electronics,South,Frank,10,205.36,46.48,Cyberdyne
2024-01-04,Notebook Set,Stationery,East,Eve,2,31.09,8.0,Acme Corp
2024-01-04,Office Chair,Furniture,North,Charlie,3,1248.34,425.39,Cyberdyne
2024-01-05,Notebook Set,Stationery,South,Eve,5,72.11,18.14,Globex Inc
2024-01-05,Office Chair,Furniture,South,Eve,1,321.23,79.58,Wonka Industries
2024-01-05,Office Chair,Furniture,East,Bob,4,1505.84,511.07,Acme Corp
2024-01-05,Standing Desk,Furniture,North,Eve,3,2229.01,756.46,Initech
2024-01-05,Notebook Set,Stationery,West,Bob,4,68.81,15.81,Wonka Industries
2024-01-06,Standing Desk,Furniture,West,Alice,4,2409.81,371.61,Umbrella Co
2024-01-06,Notebook Set,Stationery,South,Alice,1,12.77,4.23,Globex Inc
2024-01-06,Laptop Pro,Electronics,South,Charlie,4,4353.9,1282.97,Soylent Corp
2024-01-06,Notebook Set,Stationery,West,Bob,7,108.35,18.35,Soylent Corp
2024-01-06,Standing Desk,Furniture,West,Diana,2,1204.0,355.95,Acme Corp
2024-01-07,Wireless Mouse,Electronics,South,Bob,8,167.05,31.19,Wonka Industries
2024-01-07,Laptop Pro,Electronics,West,Eve,1,1360.17,,Globex Inc
2024-01-07,Laptop Pro,Electronics,South,Bob,8,8607.79,2779.71,Cyberdyne
2024-01-08,Standing Desk,Furniture,North,Diana,8,5512.61,1594.9,Stark Industries
2024-01-08,Notebook Set,Stationery,West,Bob,5,77.84,12.59,Umbrella Co
2024-01-08,Laptop Pro,Electronics,East,Alice,10,11944.29,3987.93,Acme Corp
2024-01-08,Laptop Pro,Electronics,North,Bob,10,13155.73,4240.93,Globex Inc
2024-01-09,Notebook Set,Stationery,North,Eve,7,129.97,34.19,Globex Inc
