date,product,category,region,salesperson,quantity,revenue,profit,customer
2024-03-01,Laptop Pro,Electronics,West,Charlie,4,6971.51,1108.87,Acme Corp
2024-03-01,Laptop Pro,Electronics,North,Alice,1,1792.29,333.36,Soylent Corp
2024-03-01,Standing Desk,Furniture,East,Diana,7,4300.32,1232.24,Soylent Corp
2024-03-01,Notebook Set,Stationery,South,Frank,2,30.32,7.81,Wayne Enterprises
2024-03-01,Wireless Mouse,Electronics,North,Alice,8,186.25,48.22,Stark Industries
2024-03-02,Wireless Mouse,Electronics,West,Charlie,5,96.7,31.43,Initech
2024-03-02,Laptop Pro,Electronics,West,Eve,4,6460.51,,Acme Corp
2024-03-02,Notebook Set,Stationery,North,Bob,7,149.35,38.53,Acme Corp
2024-03-02,Laptop Pro,Electronics,South,Eve,4,5970.69,1769.14,Stark Industries
2024-03-03,Wireless Mouse,Electronics,East,Bob,4,73.7,15.11,Wonka Industries
2024-03-03,Notebook Set,Stationery,South,Frank,9,145.67,50.18,Cyberdyne
2024-03-03,Standing Desk,Furniture,East,Frank,7,4100.61,923.83,Cyberdyne
2024-03-03,Standing Desk,Furniture,South,Bob,3,1805.03,600.98,Stark Industries
2024-03-03,Standing Desk,Furniture,South,Diana,5,2666.79,744.94,Umbrella Co
2024-03-04,Laptop Pro,Electronics,South,Alice,7,10169.37,2751.67,Stark Industries
2024-03-04,Wireless Mouse,Electronics,South,Diana,6,97.26,32.27,Umbrella Co
2024-03-04,Wireless Mouse,Electronics,North,Frank,4,93.52,27.19,Soylent Corp
2024-03-04,Wireless Mouse,Electronics,East,Charlie,8,151.01,33.5,Cyberdyne
2024-03-04,Notebook Set,Stationery,West,Diana,8,166.69,35.68,Globex Inc
2024-03-05,Standing Desk,Furniture,North,Eve,3,2048.56,533.98,Umbrella Co
2024-03-05,Standing Desk,Furniture,East,Bob,6,3575.89,943.88,Umbrella Co
2024-03-05,Notebook Set,Stationery,East,Charlie,8,142.87,42.37,Soylent Corp
2024-03-05,Wireless Mouse,Electronics,West,Bob,1,20.72,6.59,Wonka Industries
2024-03-05,Laptop Pro,Electronics,North,Diana,4,6840.99,1232.79,Initech
2024-03-06,Office Chair,Furniture,North,Eve,8,3813.74,584.06,Dunder Mifflin
2024-03-06,Standing Desk,Furniture,North,Alice,5,3807.02,789.34,Wonka Industries
2024-03-06,Standing Desk,Furniture,South,Alice,9,4744.66,893.83,Globex Inc
2024-03-06,Office Chair,Furniture,East,Diana,6,2522.2,609.87,Globex Inc
2024-03-06,Wireless Mouse,Electronics,East,Frank,1,17.23,3.89,Globex Inc
2024-03-06,Laptop Pro,Electronics,North,Frank,2,3743.89,886.49,Initech
2024-03-07,Notebook Set,Stationery,North,Bob,10,214.94,34.24,Umbrella Co
2024-03-07,Office Chair,Furniture,North,Bob,1,504.64,134.94,Wayne Enterprises
2024-03-07,Standing Desk,Furniture,North,Charlie,10,7167.59,2271.63,Initech
2024-03-08,Standing Desk,Furniture,South,Frank,9,5353.51,1173.34,Globex Inc
2024-03-08,Wireless Mouse,Electronics,North,Charlie,10,245.47,56.3,Dunder Mifflin
2024-03-08,Laptop Pro,Electronics,East,Diana,4,6060.05,2049.68,Soylent Corp
2024-03-08,Notebook Set,Stationery,West,Alice,5,104.9,30.7,Dunder Mifflin
2024-03-08,Wireless Mouse,Electronics,West,Frank,7,139.08,,Initech
2024-03-09,Standing Desk,Furniture,East,Charlie,3,1734.0,409.56,Globex Inc
2024-03-09,Notebook Set,Stationery,West,Alice,2,38.44,6.48,Acme Corp
2024-03-09,Office Chair,Furniture,West,Alice,7,2897.98,483.79,Stark Industries
2024-03-09,Wireless Mouse,Electronics,South,Frank,3,46.97,9.87,Cyberdyne
2024-03-09,Laptop Pro,Electronics,South,Diana,7,9434.39,2891.95,Stark Industries
2024-03-10,Standing Desk,Furniture,South,Diana,3,1634.54,555.36,Globex Inc
2024-03-10,Notebook Set,Stationery,West,Charlie,6,117.15,36.87,Soylent Corp
2024-03-10,Notebook Set,Stationery,South,Charlie,10,176.49,33.56,Wayne Enterprises
2024-03-10,Standing Desk,Furniture,East,Charlie,10,6655.29,1432.07,Soylent Corp
2024-03-11,Office Chair,Furniture,North,Eve,10,5079.47,944.71,Umbrella Co
2024-03-11,Laptop Pro,Electronics,West,Frank,8,14545.33,4600.05,Umbrella Co
